name,domain_name,media_outlet_type,state,bias,active
WCNC,wcnc.com,Local Broadcast News,North Carolina,Center,TRUE
WLTX,wltx.com,Local Broadcast News,South Carolina,Center,TRUE
WRAL,wral.com,Local Broadcast News,North Carolina,Center,TRUE
WWAY TV3,wwaytv3.com,Local Broadcast News,North Carolina,Center,TRUE
WXII TV 12,wxii12.com,Local Broadcast News,North Carolina,Center,TRUE
WYFF TV 4,wyff4.com,Local Broadcast News,South Carolina,Center,TRUE
Windy City Times,windycitytimes.com,Local News Outlet,Arizona,Left,TRUE
27 East,27east.com,Local News Outlet,New York,Center,TRUE
AFGE,afge.org,Other,Unspecified,Center,TRUE
Alberni Valley News,albernivalleynews.com,Local News Outlet,Unspecified,Center,TRUE
American Free Press,americanfreepress.net,Web Publication,Unspecified,Right,TRUE
Axios,axios.com,Web Publication,Unspecified,Center,TRUE
Bakersfield.com,bakersfield.com,Local News Outlet,California,Center,TRUE
Bozeman Daily Chronicle,bozemandailychronicle.com,Local News Outlet,Montana,Center,TRUE
Bradford Today,bradfordtoday.ca,Local News Outlet,Unspecified,Center,TRUE
Brookings,brookings.edu,Local News Outlet,Unspecified,Center Left,TRUE
Bucks County Herald,buckscountyherald.com,Local News Outlet,Pennsylvania,Center,TRUE
Buffalo News,buffalonews.com,Local News Outlet,New York,Center,TRUE
Business World,bworldonline.com,Web Publication,Unspecified,Center,TRUE
Capital Gazette,capitalgazette.com,Local News Outlet,Maryland,Center,TRUE
Cap Times,captimes.com,Local News Outlet,Wisconsin,Center,TRUE
CBS 17,cbs17.com,Local News Outlet,North Carolina,Center,TRUE
Center Times,centredaily.com,Local News Outlet,Pennsylvania,Center,TRUE
Center for Global Development,cgdev.org,Web Publication,Unspecified,Center,TRUE
Charlotte Observer,charlotteobserver.com,Local News Outlet,North Carolina,Center,TRUE
Christian Chronicle,christianchronicle.org,Web Publication,Unspecified,Center,TRUE
Tokeka Capital-Journal,cjonline.com,Local News Outlet,Kansas,Center,TRUE
Columbia Missouriuan,columbiamissourian.com,Local News Outlet,Missouri,Center,TRUE
Cornell Sun,cornellsun.com,Local News Outlet,New York,Center,TRUE
Courier Journal,courier-journal.com,Local News Outlet,Kentucky,Center,TRUE
Dayton Daily News,daytondailynews.com,Local News Outlet,Ohio,Center,TRUE
Devex,devex.com,Web Publication,Unspecified,Center,TRUE
Dissent,dissentmagazine.org,Opinion Journal,Unspecified,Left,TRUE
The Evanstonian,evanstonian.net,Local News Outlet,Illinois,Center,TRUE
Fredrick News Post,fredericknewspost.com,Local News Outlet,Massachusetts,Center,TRUE
Idaho Press,idahopress.com,Local News Outlet,Idaho,Center,TRUE
Institute  of Food Technologists,ift.org,Other,Unspecified,Center,TRUE
Indy Week,indyweek.com,Local News Outlet,Indiana,Center,TRUE
Khaama Press,khaama.com,Local News Outlet,Unspecified,Center,TRUE
Los Alamo Daily Post,ladailypost.com,Local News Outlet,New Mexico,Center,TRUE
Lancaster Farming,lancasterfarming.com,Local News Outlet,Pennsylvania,Center,TRUE
Live 5 News Charleston,live5news.com,Local Broadcast News,South Carolina,Center,TRUE
Live Science,livescience.com,Web Publication,Unspecified,Center,TRUE
Lawrence Journal-World,ljworld.com,Local News Outlet,Kansas,Center,TRUE
Wisconsin State Journal,madison.com,Local News Outlet,Wisconsin,Center,TRUE
Marco Eagle,marconews.com,Local News Outlet,Florida,Center,TRUE
Marshall Parthenon,marshallparthenon.com,Local News Outlet,West Virginia,Center,TRUE
Missouri Lawyers Media ,molawyersmedia.com,Local News Outlet,Missouri,Center,TRUE
Moring Sun,morningsun.net,Local News Outlet,Kansas,Center,TRUE
MSN,msn.com,Web Publication,Unspecified,Center,TRUE
MyHorry News,myhorrynews.com,Web Publication,South Carolina,Center,TRUE
News Gazette,news-gazette.com,Local News Outlet,Illinois,Center,TRUE
Raleigh News Observer ,newsobserver.com,Local News Outlet,North Carolina,Center,TRUE
Neiman Lab,niemanlab.org,Other,Unspecified,Center,TRUE
NOLA.com,nola.com,Local News Outlet,Louisiana,Center,TRUE
Rome News-Tribune,northwestgeorgianews.com,Local News Outlet,Georgia,Center,TRUE
PennLive,pennlive.com,Local News Outlet,Pennsylvania,Center,TRUE
Pioneer Tribune,pioneertribune.com,Local News Outlet,Michigan,Center,TRUE
Politico,politico.com,Web Publication,Unspecified,Center,TRUE
Portland Tribune,portlandtribune.com,Local News Outlet,Oregon,Center,TRUE
Post Bulletin,postbulletin.com,Local News Outlet,New Mexico,Center,TRUE
Post Crescent,postcrescent.com,Local News Outlet,Wisconsin,Center,TRUE
Moline Dispatch Argus,qconline.com,Local News Outlet,Iowa,Center,TRUE
Red Bluff Daily News,redbluffdailynews.com,Local News Outlet,California,Center,TRUE
Religion News,religionnews.com,Other,Unspecified,Center,TRUE
Republican Eagle,republicaneagle.com,Local News Outlet,Minnesota,Center,TRUE
Rhina Times,rhinotimes.com,Local News Outlet,North Carolina,Center,TRUE
Salem News,salemnews.com,Local News Outlet,Massachusetts,Center,TRUE
Sky News,sky.com,Other,Unspecified,Center,TRUE
Stat News,statnews.com,Web Publication,Unspecified,Center,TRUE
St. Louis American,stlamerican.com,Local News Outlet,Missouri,Center,TRUE
Substack,substack.com,Other,Unspecified,Center,TRUE
Telegraph Herald,telegraphherald.com,Local News Outlet,Iowa,Center,TRUE
The Advocate,theadvocate.com,Local News Outlet,Louisiana,Center,TRUE
The Hill,thehill.com,Web Publication,Unspecified,Right,TRUE
The Intermountain,theintermountain.com,Local News Outlet,West Virginia,Center,TRUE
The New Humanitarian,thenewhumanitarian.org,Local News Outlet,Unspecified,Center,TRUE
The Pilot,thepilot.com,Local News Outlet,North Carolina,Center,TRUE
The Santa Clara,thesantaclara.org,Local News Outlet,California,Center,TRUE
Times Union,timesunion.com,Local News Outlet,New York,Center,TRUE
Toledo Blade,toledoblade.com,Local News Outlet,Ohio,Center,TRUE
Casper Star-Tribune,trib.com,Local News Outlet,Wyoming,Center,TRUE
Upstate Today,upstatetoday.com,Local News Outlet,South Carolina,Center,TRUE
Washburn Review,washburnreview.org,Local News Outlet,Kansas,Center,TRUE
WBIR  Tennessee,wbir.com,Local News Outlet,Tennessee,Center,TRUE
WCCB Charlotte,wccbcharlotte.com,Local Broadcast News,North Carolina,Center,TRUE
Western Ag Reporter,westernagreporter.com,Web Publication,Unspecified,Center,TRUE
WFMY News,wfmynews2.com,Local News Outlet,North Carolina,Center,TRUE
Winnipeg Free Press,winnipegfreepress.com,Local News Outlet,Unspecified,Center,TRUE
mrcNewsbusters,newsbusters.org,Web Publication,Unspecified,Center,TRUE
The Guardian,theguardian.com,Local News Outlet,UK,Center Left,TRUE
The New Yorker,newyorker.com,Opinion Journal,Unspecified,Center Left,TRUE
The Bulwark,thebulwark.com,Opinion Journal,Unspecified,Center,TRUE
Altoona Mirror,altoonamirror.com,Local News Outlet,Pennsylvania,Center,TRUE
AOL.COM,aol.com,Web Publication,Unspecified,Center,TRUE
Bangor Daily News,bangordailynews.com,Local News Outlet,Maine,Center,TRUE
Civic Media,civicmedia.us,Local News Outlet,Wisconsin,Right,TRUE
Boulder Daily Camera,dailycamera.com,Local News Outlet,Colorado,Center,TRUE
Daily Democrat,dailydemocrat.com,Local News Outlet,California,Center,TRUE
Daily Herald ,dailyherald.com,Local News Outlet,Illinois,Center,TRUE
Deseret News,deseret.com,Local News Outlet,Utah,Center,TRUE
Duke Chronicle,dukechronicle.com,Local News Outlet,North Carolina,Center,TRUE
Geneva Solutions,genevasolutions.news,Local News Outlet,Unspecified,Center,TRUE
Illinois Times,illinoistimes.com,Local News Outlet,Unspecified,Center,TRUE
Journal and Courier,jconline.com,Local News Outlet,Indiana,Center,TRUE
Knox News,knoxnews.com,Local News Outlet,Tennessee,Center,TRUE
The Lawrence Times,lawrencekstimes.com,Local News Outlet,Kansas,Center,TRUE
Loretto Community,lorettocommunity.org,Local News Outlet,Kentucky,Center,TRUE
Marketplace,marketplace.org,Web Publication,Unspecified,Center,TRUE
The Mining Journal,miningjournal.net,Local News Outlet,Minnesota,Center,TRUE
The News-Press,news-press.com,Local News Outlet,Florida,Center,TRUE
Newsbreak,newsbreak.com,Web Publication,Unspecified,Center,TRUE
NorthCentralPA,northcentralpa.com,Local News Outlet,Pennsylvania,Center,TRUE
Oxford Free Press,oxfreepress.com,Local News Outlet,Ohio,Center,TRUE
Petaluma Argus-Courier,petaluma360.com,Local News Outlet,California,Center,TRUE
GEOPolitics,politicsgeo.com,Web Publication,Unspecified,Center,TRUE
The Press Democrat,pressdemocrat.com,Local News Outlet,California,Center,TRUE
Rogue Valley Times,rv-times.com,Local News Outlet,Oregon,Center,TRUE
The State Journal Register,sj-r.com,Local News Outlet,Illinois,Center,TRUE
The Diplomat,thediplomat.com,Web Publication,Unspecified,Center,TRUE
The Trentonian,trentonian.com,Local News Outlet,Pennsylvania,Center,TRUE
Undark,undark.org,Web Publication,Unspecified,Center,TRUE
WEAU,weau.com,Local Broadcast News,Wisconsin,Center,TRUE
285 South,285south.com,Local News Outlet,Georgia,Center,TRUE
Bend Bulletin,bendbulletin.com,Local News Outlet,Oregon,Center,TRUE
Billings Gazette,billingsgazette.com,Local News Outlet,Montana,Center,TRUE
Council on Foreign Relations,cfr.org,Opinion Journal,Unspecified,Center,TRUE
Daily Press,dailypress.com,Local News Outlet,Virginia,Center,TRUE
E! News,eonline.com,Web Publication,Unspecified,Center,TRUE
FOX4KC,fox4kc.com,Local Broadcast News,Missouri,Center,TRUE
Google,google.com,Web Publication,Unspecified,Center,TRUE
Hastings Tribune,hastingstribune.com,Local News Outlet,Nebraska,Center,TRUE
Herald Dispatch,herald-dispatch.com,Local News Outlet,West Virginia,Center,TRUE
Journal Gazette,journalgazette.net,Local News Outlet,Indiana,Center,TRUE
Winston-Salem Journal,journalnow.com,Local News Outlet,North Carolina,Center,TRUE
NBC Chicago,nbcchicago.com,Local News Outlet,Illinois,Center,TRUE
Fairbanks Newsminer,newsminer.com,Local News Outlet,Alaska,Center,TRUE
Paulding  Press,progressnewspaper.org,Local News Outlet,Ohio,Center,TRUE
Providence Journal,providencejournal.com,Local News Outlet,Rhode Island,Center,TRUE
Quad-City Times,qctimes.com,Local News Outlet,Iowa,Center,TRUE
Brentwook Press,thepress.net,Local News Outlet,California,Center,TRUE
Sylva Herald,thesylvaherald.com,Local News Outlet,North Carolina,Center,TRUE
Tom Dispatch,tomdispatch.com,Web Publication,Unspecified,Left,TRUE
Manchester Union Leader,unionleader.com,Local News Outlet,New Hampshire,Center,TRUE
WIS TV,wistv.com,Local Broadcast News,South Carolina,Center,TRUE
WBMF,wmbfnews.com,Local Broadcast News,South Carolina,Center,TRUE
WPTF,wptf.com,Local Broadcast News,North Carolina,Center,TRUE
Wall Street Journal,wsj.com,National News Outlet,Unspecified,Center Right,TRUE
WUWM,wuwm.com,Local Broadcast News,Wisconsin,Center,TRUE
Charelston Gazette,wvgazettemail.com,Local News Outlet,West Virginia,Center,TRUE
WV News,wvnews.com,Local News Outlet,West Virginia,Center,TRUE
Wyoming Tribune Eagle,wyomingnews.com,Local News Outlet,Wyoming,Center,TRUE
Yakima Herald,yakimaherald.com,Local News Outlet,Washington,Center,TRUE
The Island News,yourislandnews.com,Local News Outlet,South Carolina,Center,TRUE
You Tube,youtube.com,Web Publication,Unspecified,Center,TRUE
Ann Arbor Independent,a2independent.com,Local News Outlet,Michigan,Center,TRUE
Ag Web,agweb.com,Web Publication,Unspecified,Center,TRUE
CSIS,csis.org,Opinion Journal,Unspecified,Center,TRUE
The Forward,forward.com,Opinion Journal,Unspecified,Left,TRUE
Sun Journal,sunjournal.com,Local News Outlet,Maine,Center,TRUE
Baltimore Banner,thebaltimorebanner.com,Local News Outlet,Maryland,Center,TRUE
Tomkins Weekly,tompkinsweekly.com,Local News Outlet,New York,Center,TRUE
UC Santa Barbara,ucsb.edu,Other,California,Center,TRUE
US News,usnews.com,Web Publication,Unspecified,Center Right,TRUE
Waterloo-Cedar Falls Courier,wcfcourier.com,Local News Outlet,Iowa,Center,TRUE
ABC,go.com,Web Publication,Unspecified,Center,TRUE
Ars Tecnica,arstechnica.com,Web Publication,Unspecified,Center,TRUE
EOS,eos.org,Web Publication,Unspecified,Center,TRUE
Good Times Santa Cruz,goodtimes.sc,Local News Outlet,California,Center,TRUE
Sprinfield News-Leader,news-leader.com,Local News Outlet,Missouri,Center,TRUE
Small Wars Journal,smallwarsjournal.com,Web Publication,Unspecified,Center,TRUE
Fox Business,foxbusiness.com,Web Publication,Unspecified,Right,TRUE
American Thinker,americanthinker.com,Opinion Journal,Unspecified,Right,TRUE
Chappelborro,chapelboro.com,Web Publication,North Carolina,Center,TRUE
Durango Herald,durangoherald.com,Local News Outlet,Colorado,Center,TRUE
East Bay Times,eastbaytimes.com,Local News Outlet,California,Center,TRUE
Foreign Affairs,foreignaffairs.com,Local News Outlet,Unspecified,Center Left,TRUE
Colorado Springs Gazette,gazette.com,Local News Outlet,Colorado,Center,TRUE
Infowars,infowars.com,Web Publication,Unspecified,Right,TRUE
Inside Nova,insidenova.com,Local News Outlet,Virginia,Center,TRUE
Medium,medium.com,Web Publication,Unspecified,Center,TRUE
My Nortwest Seatle ,mynorthwest.com,Local News Outlet,Unspecified,Center,TRUE
NBC Bay Area,nbcbayarea.com,Local Broadcast News,Unspecified,Center,TRUE
NBC 6 South Florida,nbcmiami.com,Local Broadcast News,Florida,Center,TRUE
NBC 7 San Diago,nbcsandiego.com,Local Broadcast News,California,Center,TRUE
NBC 4 Jacksonville,news4jax.com,Local Broadcast News,Florida,Center,TRUE
News Center Maine,newscentermaine.com,Local Broadcast News,Maine,Center,TRUE
Nonprofit Quarterly,nonprofitquarterly.org,Web Publication,Unspecified,Center,TRUE
Radio Iowa,radioiowa.com,Local Broadcast News,Iowa,Center,TRUE
Reason,reason.com,Opinion Journal,Unspecified,Right,TRUE
Las Vegas Review-Journal,reviewjournal.com,Local News Outlet,Nevada,Center,TRUE
WCTB Boston,wcvb.com,Local Broadcast News,Massachusetts,Center,TRUE
WGRZ Buffalo,wgrz.com,Local Broadcast News,New York,Center,TRUE
WHAS Louisville,whas11.com,Local Broadcast News,Kentucky,Center,TRUE
WKYC Cleveland,wkyc.com,Local Broadcast News,Ohio,Center,TRUE
WMUR New Hampshire,wmur.com,Local Broadcast News,New Hampshire,Center,TRUE
WUSA 9 DC,wusa9.com,Local Broadcast News,District of Columbia,Center,TRUE
The  Christian Post,christianpost.com,Web Publication,Unspecified,Right,TRUE
Click on Houston,click2houston.com,Local Broadcast News,Texas,Center,TRUE
Click on Detroit,clickondetroit.com,Local Broadcast News,Michigan,Center,TRUE
Click on Orlando,clickorlando.com,Local Broadcast News,Florida,Center,TRUE
The Globe - Worthington,dglobe.com,Local News Outlet,Minnesota,Center,TRUE
Federal News Network,federalnewsnetwork.com,Web Publication,Unspecified,Center,TRUE
Fedscoop,fedscoop.com,Web Publication,Unspecified,Center,TRUE
iNews,inews.co.uk,National News Outlet,Unspecified,Center Left,TRUE
Northern Virgina Magazine,northernvirginiamag.com,Local News Outlet,Virginia,Center,TRUE
Sonoma Index-Tribune,sonomanews.com,Local News Outlet,California,Center,TRUE
The Globe and Mail,theglobeandmail.com,National News Outlet,Unspecified,Center Right,TRUE
The Republic News,therepublic.com,Local News Outlet,Indiana,Center,TRUE
Toronto Star,thestar.com,Local News Outlet,Unspecified,Center Left,TRUE
The Western Journal,westernjournal.com,Web Publication,Unspecified,Right,TRUE
"Smart Bitches, Trashy Books",smartbitchestrashybooks.com,Web Publication,Unspecified,Center,TRUE
The 19th,19thnews.org,Web Publication,Unspecified,Left,TRUE
404 Media,404media.co,Web Publication,Unspecified,Left,TRUE
Election Protection,866ourvote.org,Advocacy Group,Unspecified,Left,TRUE
ACLU,aclu.org,Advocacy Group,Unspecified,Left,TRUE
America 2.0,america2.news,Web Publication,Unspecified,Left,TRUE
Anil Dash,anildash.com,Web Publication,Unspecified,Left,TRUE
The Atavist,atavist.com,Web Publication,Unspecified,Center Left,TRUE
Blood in the Machine,bloodinthemachine.com,Web Publication,Unspecified,Center Left,TRUE
Brittish Medical Journal,bmj.com,Web Publication,Unspecified,Unspecified,TRUE
Bolts,boltsmag.org,Web Publication,Unspecified,Left,TRUE
Brennan Center for Justice,brennancenter.org,Advocacy Group,Unspecified,Center Left,TRUE
CalMatters,calmatters.org,Web Publication,California,Center Left,TRUE
Citation Needed,citationneeded.news,Web Publication,Unspecified,Center,TRUE
Citizens for Responsibility and Ethics,citizensforethics.org,Web Publication,Unspecified,Center,TRUE
Collaborative Journalism ,collaborativejournalism.org,Web Publication,Unspecified,Left,TRUE
Dan Sinker,dansinker.com,Web Publication,Unspecified,Center,TRUE
Defector,defector.com,Web Publication,Unspecified,Left,TRUE
Democracy Docket,democracydocket.com,Web Publication,Unspecified,Center Left,TRUE
Duke University,duke.edu,Web Publication,North Carolina,Center,TRUE
The Editorial Board,editorialboard.com,Web Publication,Unspecified,Left,TRUE
Electornic Frontier Foundation,eff.org,Web Publication,Unspecified,Center,TRUE
Empty Wheel,emptywheel.net,Web Publication,Unspecified,Left,TRUE
End of Term Web Archive,eotarchive.org,Web Publication,Unspecified,Left,TRUE
Esquire,esquire.com,Web Publication,Unspecified,Center Left,TRUE
Fix the News,fixthenews.com,Web Publication,Unspecified,Left,TRUE
Forever Wars,forever-wars.com,Web Publication,Unspecified,Left,TRUE
Feedom of the Press Foundation,freedom.press,Advocacy Group,Unspecified,Center Left,TRUE
Detroit Free Press,freep.com,Local News Outlet,Michigan,Center,TRUE
Federal Trade Commission,ftc.gov,Other,Unspecified,Left,TRUE
Financial Times,ft.com,National News Outlet,Unspecified,Center Right,TRUE
Gallup,gallup.com,Other,Unspecified,Center,TRUE
Greg Palast,gregpalast.com,Web Publication,Unspecified,Left,TRUE
Haaretz,haaretz.com,Web Publication,Unspecified,Left,TRUE
Hamilton Nolan,hamiltonnolan.com,Web Publication,Unspecified,Left,TRUE
Harvard University,harvard.edu,Other,Massachusetts,Center,TRUE
Hopium Chronicles,hopiumchronicles.com,Web Publication,Unspecified,Center Left,TRUE
If You Can Keep It,ifyoucankeepit.org,Web Publication,Unspecified,Center Left,TRUE
Important Context,importantcontext.news,Web Publication,Unspecified,Left,TRUE
Inside Climate News,insideclimatenews.org,Web Publication,Unspecified,Center Left,TRUE
Inside Higher Ed,insidehighered.com,Web Publication,Unspecified,Center Left,TRUE
Institute for Policy Studies,ips-dc.org,Advocacy Group,Unspecified,Left,TRUE
John Horgan,johnhorgan.org,Web Publication,Unspecified,Left,TRUE
Kaiser Family Foundation,kff.org,Advocacy Group,Unspecified,Center Left,TRUE
Lawfare,lawfaremedia.org,Web Publication,Unspecified,Center Left,TRUE
The Lever,levernews.com,Web Publication,Unspecified,Left,TRUE
Liberal Currents,liberalcurrents.com,Web Publication,Unspecified,Left,TRUE
Mediaite,mediaite.com,Web Publication,Unspecified,Center Left,TRUE
Media Matters,mediamatters.org,Web Publication,Unspecified,Left,TRUE
MedPage Today,medpagetoday.com,Web Publication,Unspecified,Center,TRUE
Michael Moore,michaelmoore.com,Web Publication,Unspecified,Left,TRUE
Military Times,militarytimes.com,Web Publication,Unspecified,Center,TRUE
Mississippi Free Press,mississippifreepress.org,Web Publication,Mississippi,Left,TRUE
Nonmouth University,monmouth.edu,Other,New Jersey,Left,TRUE
Minnesotta Public Radio,mprnews.org,Local News Outlet,Minnesota,Center,TRUE
NASA,nasa.gov,Other,Unspecified,Center,TRUE
NBC New York,nbcnewyork.com,Local Broadcast News,New York,Center,TRUE
NOTUS,notus.org,Web Publication,Unspecified,Center Left,TRUE
Oklahama Watch,oklahomawatch.org,Local News Outlet,Oklahoma,Center Left,TRUE
Pew Research Center,pewresearch.org,Other,Unspecified,Center,TRUE
Platformer,platformer.news,Web Publication,Unspecified,Left,TRUE
Pluralistic - Cory Doctorow,pluralistic.net,Web Publication,Unspecified,Left,TRUE
Popular Info - Judd Legum,popular.info,Web Publication,Unspecified,Center Left,TRUE
Press Watch,presswatchers.org,Web Publication,Unspecified,Center Left,TRUE
Project Censored,projectcensored.org,Web Publication,Unspecified,Left,TRUE
Public Notice - Aaron Rupar,publicnotice.co,Web Publication,Unspecified,Left,TRUE
Present Age - Parker Molloy,readtpa.com,Web Publication,Unspecified,Left,TRUE
The Resistence Toolkit,resistance-toolkit.com,Web Publication,Unspecified,Left,TRUE
Resolute Square,resolutesquare.com,Web Publication,Unspecified,Center,TRUE
John Scalzi's Whatever,scalzi.com,Web Publication,Unspecified,Left,TRUE
Science-Based Medicine,sciencebasedmedicine.org,Web Publication,Unspecified,Left,TRUE
San Francisco Standard,sfstandard.com,Local News Outlet,California,Center Left,TRUE
Stop the Presses - Mark Jacob,stopthepresses.news,Web Publication,Unspecified,Left,TRUE
Tech Dirt,techdirt.com,Web Publication,Unspecified,Center Left,TRUE
MIT Technology Review,technologyreview.com,Web Publication,Massachusetts,Unspecified,TRUE
Teen Vogue,teenvogue.com,Web Publication,Unspecified,Center Left,TRUE
Texas Observer,texasobserver.org,Web Publication,Texas,Left,TRUE
Texas Tribune,texastribune.org,Web Publication,Texas,Center Left,TRUE
Bulletin of Atomic Scientists,thebulletin.org,Web Publication,Unspecified,Center,TRUE
Daily Beast,thedailybeast.com,Web Publication,Unspecified,Left,TRUE
The Fix,thefix.media,Web Publication,Unspecified,Center,TRUE
FrameLab - George Lakoff,theframelab.org,Web Publication,Unspecified,Left,TRUE
The Index,theindex.media,Web Publication,Unspecified,Center,TRUE
The Marshal Project,themarshallproject.org,Web Publication,Unspecified,Center,TRUE
The Nerd Reich,thenerdreich.com,Web Publication,Unspecified,Left,TRUE
The Onion,theonion.com,Web Publication,Unspecified,Center Left,TRUE
The Reframe - A.R. Moxon,the-reframe.com,Web Publication,Unspecified,Left,TRUE
This American Life,thisamericanlife.org,Other,Unspecified,Center Left,TRUE
USA.gov,usa.gov,Other,Unspecified,Center,TRUE
Vote Beat,votebeat.org,Web Publication,Unspecified,Center,TRUE
Waging Nonviolence,wagingnonviolence.org,Web Publication,Unspecified,Left,TRUE
Washington Monthly,washingtonmonthly.com,Web Publication,Unspecified,Center Left,TRUE
Weekend Reading - Michael Podhorzer,weekendreading.net,Web Publication,Unspecified,Left,TRUE
Weekly Sift - Doug Muder,weeklysift.com,Web Publication,Unspecified,Left,TRUE
Welcome to Hell World,welcometohellworld.com,Web Publication,Unspecified,Left,TRUE
Ed Zitron's Where's Your Ed At,wheresyoured.at,Web Publication,Unspecified,Left,TRUE
Wikipedia,wikipedia.org,Web Publication,Unspecified,Center,TRUE
WNYC ,wnycstudios.org,Local Broadcast News,New York,Center Left,TRUE
Yale Climate Connections,yaleclimateconnections.org,Web Publication,Connecticut,Center,TRUE
First Branch Forecast - Daniel Schuman,firstbranchforecast.substack.com,Web Publication,Unspecified,Center,TRUE
Breaking the News - James Fallows,fallows.substack.com,Web Publication,Unspecified,Center,TRUE
Friends of USAID,friendsofusaid.substack.com,Web Publication,Unspecified,Center,TRUE
Letters From an American - Heather Cox Richardson,heathercoxrichardson.substack.com,Web Publication,Unspecified,Center,TRUE
The Informed Alarmist,informedalarmist.substack.com,Web Publication,Unspecified,Center,TRUE
Jill Filipovic,jill.substack.com,Web Publication,Unspecified,Center,TRUE
Lucid - Ruth Ben-Ghiat,lucid.substack.com,Web Publication,Unspecified,Center,TRUE
American Crisis - Margaret Sullivan,margaretsullivan.substack.com,Web Publication,Unspecified,Center,TRUE
Unfinished Work - Rev Paul Benz the Younger,revpaulbenz.substack.com,Web Publication,Unspecified,Center,TRUE
Thinking About...  Timothy Snyder,snyder.substack.com,Web Publication,Unspecified,Center,TRUE
User Mag - Taylor Lorenz,taylorlorenz.substack.com,Web Publication,Unspecified,Center,TRUE
The Connector - Micah Sifry,theconnector.substack.com,Web Publication,Unspecified,Center,TRUE
The Last Mile with USAID,thelastmilewithusaid.substack.com,Web Publication,Unspecified,Center,TRUE
